n	k	d	fom	l	m	A	B	wt	fam	C	D
390	6	23	8.1385	5	39	x^2*y^16+x^3*y^15+x^3*y^19+x^4*y^30	x^0*y^4+x^1*y^7+x^2*y^14+x^2*y^38	8	css		
60	6	9	8.1000	2	15	x^0*y^1+x^0*y^3+x^0*y^9+x^0*y^13+x^1*y^2+x^1*y^8	x^0*y^2+x^0*y^8+x^0*y^11+x^1*y^2+x^1*y^4+x^1*y^7+x^1*y^8+x^1*y^11	14	css		
64	8	8	8.0000	4	8	x^0*y^1+x^1*y^2+x^1*y^4+x^1*y^6	x^1*y^2+x^1*y^7+x^2*y^3+x^3*y^2+x^3*y^3+x^3*y^4+x^3*y^5+x^3*y^7	12	css		
72	4	12	8.0000	6	6	x^3*y^2+x^3*y^3+x^3*y^5+x^4*y^0+x^4*y^1+x^5*y^4	x^1*y^4+x^2*y^5+x^3*y^0+x^4*y^2	10	css		
392	4	28	8.0000	7	28	x^1*y^27+x^2*y^12+x^3*y^5+x^4*y^5+x^4*y^11+x^4*y^24	x^0*y^7+x^0*y^16+x^1*y^0+x^1*y^26+x^2*y^1+x^5*y^0+x^6*y^0+x^6*y^26	14	css		
648	4	36	8.0000	18	18	x^3*y^17+x^10*y^10+x^10*y^15+x^11*y^10+x^11*y^13+x^14*y^2	x^10*y^15+x^14*y^7+x^15*y^10+x^17*y^14	10	css		
512	4	32	8.0000	32	8	x^6*y^2+x^20*y^4+x^23*y^7+x^27*y^5+x^29*y^1+x^29*y^7	x^5*y^1+x^10*y^0+x^14*y^7+x^19*y^3+x^19*y^4+x^21*y^2+x^28*y^5+x^30*y^7	14	css		
968	4	44	8.0000	11	44	x^1*y^22+x^1*y^24+x^4*y^1+x^4*y^33+x^5*y^23+x^6*y^0+x^7*y^36+x^9*y^27	x^0*y^32+x^1*y^28+x^2*y^29+x^6*y^36+x^8*y^3+x^8*y^6	14	css		
222	4	21	7.9459	3	37	x^0*y^9+x^0*y^13+x^2*y^24+x^2*y^36	x^0*y^9+x^1*y^12+x^2*y^28	7	css		
520	4	32	7.8769	26	10	x^7*y^0+x^13*y^7+x^14*y^6+x^23*y^8	x^2*y^8+x^10*y^8+x^14*y^4+x^20*y^6	8	css		
