n	k	d	fom	l	m	A	B	wt	fam	C	D
294	6	30	18.3673	7	21	x^2*y^4+x^2*y^20+x^3*y^13	x^0*y^8+x^3*y^16+x^5*y^16	6	css		
336	6	32	18.2857	3	56	x^0*y^13+x^0*y^34+x^1*y^4+x^1*y^30+x^1*y^33	x^0*y^21+x^0*y^38+x^0*y^39+x^2*y^19	9	css		
232	8	23	18.2414	29	4	x^1*y^2+x^3*y^2+x^24*y^1+x^26*y^1	x^5*y^0+x^14*y^3+x^23*y^3+x^27*y^0	8	css		
240	6	27	18.2250	3	40	x^0*y^19+x^0*y^33+x^1*y^0+x^1*y^5	x^0*y^1+x^0*y^28+x^2*y^8+x^2*y^27	8	css		
160	6	22	18.1500	5	16	x^0*y^5+x^1*y^4+x^1*y^8+x^3*y^1	x^1*y^15+x^2*y^10+x^3*y^5+x^4*y^12	8	css		
224	6	26	18.1071	16	7	x^4*y^4+x^9*y^4+x^11*y^3+x^12*y^3	x^6*y^1+x^7*y^5+x^7*y^6+x^9*y^0+x^10*y^6	9	css		
192	6	24	18.0000	32	3	x^11*y^2+x^20*y^2+x^26*y^1+x^29*y^1	x^4*y^1+x^21*y^1+x^28*y^1+x^30*y^1	8	css		
128	16	12	18.0000	8	8	x^0*y^0+x^0*y^4+x^2*y^2+x^2*y^6	x^4*y^6+x^5*y^3+x^5*y^7+x^7*y^7	8	css		
294	10	23	17.9932	7	21	x^0*y^1+x^2*y^16+x^3*y^12+x^6*y^3	x^0*y^1+x^2*y^3+x^6*y^11	7	css		
162	6	22	17.9259	3	27	x^0*y^1+x^1*y^11+x^2*y^23+x^2*y^26	x^0*y^1+x^1*y^6+x^1*y^12+x^2*y^12	8	css		
264	6	28	17.8182	22	6	x^6*y^2+x^9*y^0+x^16*y^0+x^19*y^5	x^3*y^3+x^5*y^2+x^11*y^3+x^12*y^5	8	css		
144	10	16	17.7778	2	36	x^0*y^13+x^0*y^20+x^0*y^23+x^1*y^22	x^0*y^3+x^0*y^29+x^0*y^32+x^1*y^33	8	css		
266	6	28	17.6842	7	19	x^0*y^17+x^2*y^18+x^6*y^1	x^3*y^17+x^4*y^2+x^4*y^15+x^4*y^18+x^6*y^18	8	css		
348	6	32	17.6552	6	29	x^1*y^11+x^1*y^27+x^5*y^14+x^5*y^23	x^0*y^28+x^1*y^10+x^1*y^21+x^3*y^28	8	css		
308	6	30	17.5325	11	14	x^2*y^8+x^4*y^6+x^10*y^2	x^0*y^4+x^0*y^7+x^3*y^10+x^3*y^13+x^7*y^10	8	css		
112	10	14	17.5000	7	8	x^3*y^0+x^3*y^5+x^4*y^1+x^4*y^2	x^1*y^0+x^3*y^7+x^4*y^7+x^5*y^4	8	css		
232	6	26	17.4828	29	4	x^6*y^0+x^9*y^3+x^13*y^2+x^16*y^1	x^9*y^3+x^14*y^1+x^23*y^3+x^24*y^1	8	css		
152	6	21	17.4079	19	4	x^3*y^1+x^7*y^2+x^9*y^3+x^17*y^0	x^5*y^1+x^6*y^2+x^8*y^2+x^16*y^1	8	css		
112	6	18	17.3571	7	8	x^0*y^5+x^2*y^4+x^3*y^6+x^4*y^1+x^4*y^5	x^0*y^4+x^0*y^7+x^1*y^7+x^2*y^7+x^6*y^1	10	css		
312	8	26	17.3333	39	4	x^17*y^2+x^28*y^1+x^29*y^2+x^31*y^3	x^2*y^2+x^15*y^0+x^31*y^0	7	css		
