n	k	d_bposd	fom	l	m	A	B
192	8	18	13.5000	6	16	x^1*y^11+x^2*y^3+x^3*y^10	x^1*y^5+x^2*y^1+x^3*y^2
360	12	20	13.3333	15	12	x^1*y^0+x^10*y^8+x^10*y^10	x^0*y^1+x^3*y^5+x^9*y^0
182	6	20	13.1868	7	13	x^0*y^9+x^1*y^9+x^5*y^1	x^0*y^5+x^2*y^10+x^3*y^3
198	8	18	13.0909	3	33	x^0*y^2+x^1*y^29+x^2*y^2	x^0*y^30+x^1*y^13+x^2*y^26
120	8	14	13.0667	5	12	x^0*y^7+x^1*y^9+x^4*y^0	x^1*y^5+x^2*y^9+x^3*y^8
224	6	22	12.9643	8	14	x^0*y^10+x^3*y^7+x^6*y^8	x^2*y^9+x^4*y^8+x^7*y^4
546	4	42	12.9231	21	13	x^7*y^4+x^12*y^10+x^14*y^8	x^6*y^11+x^10*y^10+x^11*y^0
714	4	48	12.9076	21	17	x^7*y^12+x^14*y^11+x^15*y^10	x^13*y^4+x^15*y^15+x^20*y^16
600	4	44	12.9067	30	10	x^5*y^0+x^9*y^5+x^28*y^2	x^12*y^8+x^23*y^9+x^28*y^0
972	4	56	12.9053	54	9	x^2*y^0+x^18*y^1+x^32*y^7	x^31*y^3+x^38*y^6+x^40*y^8
318	4	32	12.8805	53	3	x^14*y^1+x^39*y^2+x^41*y^0	x^3*y^2+x^36*y^0+x^52*y^1
840	4	52	12.8762	20	21	x^0*y^15+x^6*y^2+x^6*y^7	x^0*y^13+x^1*y^20+x^11*y^3
210	4	26	12.8762	3	35	x^0*y^31+x^1*y^17+x^2*y^28	x^0*y^15+x^1*y^27+x^2*y^26
360	4	34	12.8444	6	30	x^2*y^27+x^3*y^29+x^4*y^2	x^1*y^19+x^3*y^17+x^5*y^10
450	4	38	12.8356	9	25	x^3*y^21+x^4*y^10+x^5*y^2	x^0*y^4+x^4*y^24+x^8*y^14
660	4	46	12.8242	15	22	x^0*y^9+x^1*y^12+x^8*y^15	x^8*y^9+x^12*y^2+x^13*y^17
780	4	50	12.8205	15	26	x^0*y^18+x^5*y^0+x^13*y^17	x^7*y^13+x^9*y^24+x^11*y^12
720	4	48	12.8000	45	8	x^23*y^0+x^28*y^4+x^42*y^3	x^1*y^4+x^26*y^6+x^42*y^2
846	4	52	12.7849	9	47	x^1*y^23+x^5*y^40+x^6*y^16	x^3*y^44+x^4*y^6+x^8*y^3
552	4	42	12.7826	6	46	x^0*y^44+x^4*y^25+x^5*y^35	x^3*y^0+x^4*y^45+x^5*y^27
282	4	30	12.7660	3	47	x^0*y^27+x^1*y^16+x^2*y^34	x^0*y^31+x^1*y^18+x^2*y^37
984	4	56	12.7480	12	41	x^1*y^15+x^9*y^33+x^11*y^23	x^0*y^18+x^5*y^30+x^7*y^31
918	4	54	12.7059	27	17	x^8*y^6+x^16*y^10+x^18*y^9	x^7*y^14+x^18*y^5+x^26*y^2
408	4	36	12.7059	12	17	x^4*y^14+x^6*y^14+x^8*y^2	x^6*y^5+x^10*y^12+x^11*y^16
504	4	40	12.6984	14	18	x^2*y^1+x^3*y^2+x^8*y^15	x^4*y^5+x^9*y^12+x^13*y^1
726	4	48	12.6942	33	11	x^8*y^2+x^15*y^3+x^25*y^9	x^12*y^2+x^17*y^2+x^28*y^10
456	4	38	12.6667	57	4	x^33*y^3+x^38*y^3+x^40*y^2	x^1*y^2+x^30*y^0+x^41*y^0
612	4	44	12.6536	51	6	x^10*y^1+x^25*y^0+x^45*y^1	x^9*y^1+x^26*y^4+x^48*y^3
162	8	16	12.6420	3	27	x^1*y^5+x^1*y^7+x^1*y^18	x^0*y^25+x^1*y^1+x^2*y^10
324	4	32	12.6420	3	54	x^1*y^49+x^2*y^2+x^2*y^40	x^1*y^28+x^1*y^33+x^2*y^31
